name	address	latitude	longitude	phone	workingTime	province	point
Sacombank-Hội Sở	266-268 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh	10.7876851	106.6861188	1800 5858 88	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Hồ Chí Minh	100
Sacombank-Chi nhánh Cà Mau-Phòng giao dịch Đầm Dơi	Số 97 đường 19/5, Khóm 4, Thị trấn Đầm Dơi, Huyện Đầm Dơi, Tỉnh Cà Mau	8.9944403	105.1984431	(0290) 3660 044	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cà Mau	100
Sacombank-Chi nhánh Cà Mau-Phòng giao dịch Thới Bình	60 đường Lữ Trung Tấn, Khóm 1, Thị trấn Thới Bình, Huyện Thới Bình, Tỉnh Cà Mau	9.346465	105.096346999999	(0290) 3582 640	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cà Mau	100
Sacombank-Chi nhánh Cà Mau-Phòng giao dịch Sông Đốc	Số 224 - Khóm 10, Thị trấn Sông Đốc, Huyện Trần Văn Thời, Tỉnh Cà Mau	9.04888899999999	104.827777999999	(0290) 3892 303 (04)	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cà Mau	100
Sacombank-Chi nhánh Cà Mau	164A Nguyễn Tất Thành, Phường 8, Thành phố Cà Mau, Tỉnh Cà Mau	9.166284	105.1447091	(0290) 3812 001	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cà Mau	100
Sacombank-Chi nhánh Cà Mau-Phòng giao dịch Năm Căn	109 đường Nguyễn Tất Thành, Khóm 2, Thị trấn Năm Căn, Huyện Năm Căn, Tỉnh Cà Mau	8.7771893	104.997593199999	(0290) 3730 996	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cà Mau	100
Sacombank-Chi nhánh Bình Thuận-Phòng giao dịch Phan Rí Cửa	Thôn Lâm Lộc 1, Xã Hòa Minh, Huyện Tuy Phong, Tỉnh Bình Thuận	11.1725761	108.5666621	(0252) 3972 699	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Bình Thuận	100
Sacombank-Chi nhánh Bình Thuận-Phòng giao dịch LaGi	25 Thống Nhất, Phường Phước Hội, Thị xã Lagi, Tỉnh Bình Thuận	10.6607652	107.7714593	(0252) 3841 760	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Bình Thuận	100
Sacombank-Chi nhánh Cần Thơ-Phòng giao dịch An Hòa	51 đường Cách Mạng Tháng Tám, Phường An Hòa, Quận Ninh Kiều,Thành phố Cần Thơ	10.0488008	105.7762092	0292 3765 423	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ-Phòng giao dịch Ninh Kiều	168C đường 3 tháng 2, Phường Hưng Lợi, Quận Ninh Kiều, Thành phố Cần Thơ	10.027419	105.769415999999	(0292) 3740 611	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ-Phòng giao dịch Hồ Tùng Mậu	69A1 đường Hồ Tùng Mậu, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ	10.0459953	105.7827428	(0292) 3.761.486	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ	95-97-99 Võ Văn Tần, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ	10.0324858	105.785799199999	(0292) 3843 295	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ -Phòng giao dịch An Nghiệp	228G đường Trần Hưng Đạo, Phường An Nghiệp, Quận Ninh Kiều, Thành phố Cần Thơ	10.0341229	105.775171	0292.3734.525	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ-Phòng giao dịch An Cư	110 đường Lý Tự Trọng, Phường An Cư, Quận Ninh Kiều, Thành phố Cần Thơ	10.0363197	105.777594899999	(0292).3832439	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ-Phòng giao dịch Trấn Giang	11-13 Nguyễn Văn Cừ, Phường An Hòa, Quận Ninh Kiều, Thành phố Cần Thơ	10.051294	105.7733739	(0292) 3761 687	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ-Phòng giao dịch Thới Lai	Số 168 đường lộ Thới Lai - Trường Xuân, Ấp Thới Thuận A, Thị trấn Thới Lai, Huyện Thới Lai, Thành phố Cần Thơ	10.0432455	105.5499502	(0292) 3660 760	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
Sacombank-Chi nhánh Cần Thơ-Phòng giao dịch Nam Sông Hậu	K1-9, K1-10 đường Võ Nguyên Giáp, Phường Phú Thứ, Quận Cái Răng, Thành phố Cần Thơ	10.0127648	105.781888499999	(029)23828584	Thứ Hai-Thứ Sáu: 7h30-11h30; 13h00-17h00	Cần Thơ	100
