name	address	latitude	longitude	phone	workingTime	province
PGD Chợ Mới - CN An Giang	Số 27 Trần Hưng Đạo nối dài, Thị trấn Chợ Mới, Chợ Mới, An Giang					An Giang
PGD An Phú - CN Châu Đốc	Trung tâm thương mại Thị trấn An Phú, An Phú, An Giang					Phú Thọ
CN An Giang	Số 270 Lý Thái Tổ, Phường Mỹ Long, Long Xuyên, An Giang					Long An
PGD Phú Tân - CN An Giang	Số 27 Lê Duẩn, Khóm Trung 1, Thị trấn Phú Mỹ, Phú Tân, An Giang					Phú Thọ
PGD Long Xuyên - CN An Giang	Số 24 Ngô Gia Tự, Phường Mỹ Long, Long Xuyên, An Giang					Long An
PGD Thoại Sơn - CN An Giang	Số 30, 32, 34, 36, 38 Lê Hồng Phong, Thị trấn Núi Sập, Thoại Sơn, An Giang					An Giang
PGD Nam Châu Đốc - CN Châu Đốc	Số 51 Đinh Tiên Hoàng, Thị trấn Vĩnh Thạnh Trung, Châu Phú, An Giang					Tiền Giang
PGD Tri Tôn - CN An Giang	Số 196 Trần Hưng Đạo, Thị trấn Tri Tôn, Tri Tôn, An Giang					Quảng Trị
PGD Tân Châu - CN Châu Đốc	Số 180 Tôn Đức Thắng, Phường Long Thạnh, Tân Châu, An Giang					Long An
PGD Tịnh Biên - CN Châu Đốc	Đường Trà Sư, Khóm Sơn Đông, Phường Nhà Bàng, Tịnh Biên, An Giang					An Giang
PGD Phú Hòa - CN An Giang	Số 323 Trần Phú, Ấp Phú Hữu, Thị trấn Phú Hòa, Thoại Sơn, An Giang					Phú Thọ
CN Châu Đốc	Số 70 Nguyễn Hữu Cảnh, Phường Châu Phú A, Châu Đốc, An Giang					Lai Châu
PGD Châu Phú - CN An Giang	Số 32A Hai Bà Trưng, Ấp Bình Hòa, Thị trấn Cái Dầu, Châu Phú, An Giang					Hòa Bình
PGD Châu Thành - CN An Giang	Số 559A, Quốc lộ 91, Tổ 27, Hòa Phú 3, Thị trấn An Châu, Châu Thành, An Giang					Lai Châu
PGD Hiệp Hòa - CN Bắc Giang	Số 443 (cũ: 213) Hoàng Văn Thái, Thị trấn Thắng, Hiệp Hòa, Bắc Giang					Bắc Giang
CN Bắc Giang	Số 45 đường Nguyễn Văn Cừ, Phường Ngô Quyền, Bắc Giang, Bắc Giang					Hà Giang
PGD Chũ - CN Bắc Giang	Đường 31, TDP Trung Nghĩa, Thị trấn Chũ, Lục Ngạn, Bắc Giang					Bắc Giang
PGD Lạng Giang - CN Bắc Giang	Số 33 đường Cần Trạm, Thị Trấn Vôi, Lạng Giang, Bắc Giang					Hà Giang
PGD Lục Nam - CN Bắc Giang	Số 378 phố Bình Minh, Thị trấn Đồi Ngô, Lục Nam, Bắc Giang					Bắc Giang
PGD Thành phố Bắc Giang - CN Bắc Giang	Số 118-120 Nguyễn Thị Minh Khai, Phường Ngô Quyền, Bắc Giang, Bắc Giang					Hà Giang
PGD Việt Yên - CN Bắc Giang	Khu dân cư số 6, tuyến đường 295B, Phường Hồng Thái, Việt Yên, Bắc Giang					Bắc Giang
ĐĐKD PGD Tân Yên - CN Bắc Giang	Số 173 đường Hoàng Hoa Thám, Thị trấn Cao Thượng, Tân Yên, Bắc Giang					Bắc Giang
ĐĐKD PGD Yên Dũng - CN Bắc Giang	Tổ dân phố 1, đường Lê Đức Trung, Thị trấn Nham Biền, Yên Dũng, Bắc Giang					Bắc Giang
PGD Chợ Đồn - CN Bắc Kạn	Tổ 5, Thị trấn Bằng Lũng, Chợ Đồn, Bắc Kạn					Bắc Kạn
PGD Ba Bể - CN Bắc Kạn	Tòa nhà VNPT Ba Bể, Tiểu khu 6, thị trấn Chợ Rã, Ba Bể, Bắc Kạn					Bắc Kạn
CN Bắc Kạn	Số 15, đường Trường Chinh, Phường Đức Xuân, Bắc Kạn, Bắc Kạn					Bắc Kạn
PGD Hòa Bình - CN Bạc Liêu	Quốc lộ 1A, Ấp thị trấn A1, Thị trấn Hòa Bình, Hoà Bình, Bạc Liêu					Hòa Bình
PGD Hộ Phòng - CN Bạc Liêu	Số 203A Quốc lộ 1A, Phường Hộ Phòng, Giá Rai, Bạc Liêu					Hải Phòng
CN Bạc Liêu	Số 01 Hai Bà Trưng, Phường 3, Bạc Liêu, Bạc Liêu					Bắc Kạn
